Strain,Time,Replicate,CFU_Strain_1
163,0,1,2666.666667
163,0,2,1333.333333
163,0,3,666.6666667
163,6,1,3333.333333
163,6,2,3333.333333
163,6,3,3333.333333
163,18,1,1600000
163,18,2,933333
163,18,3,1066667
163,24,1,6000000
163,24,2,7333333.333
163,24,3,5333333.333
163,30,1,8000000
163,30,2,7333333
163,30,3,6000000
163,42,1,8000000
163,42,2,10000000
163,42,3,9333333
163,48,1,8666666.667
163,48,2,8666666.667
163,48,3,10000000
163,54,1,12000000
163,54,2,14666667
163,54,3,11333333
163,67,1,46666666.67
163,67,2,26666666.67
163,67,3,6666666.667
163,0,4,2000
163,0,5,1333
163,0,6,1333
163,6,4,5333
163,6,5,2667
163,6,6,4000
163,18,4,1333333
163,18,5,1533333
163,18,6,2133333
163,24,4,12666667
163,24,5,8666667
163,24,6,8666667
163,30,4,7333333
163,30,5,14000000
163,30,6,12000000
163,42,4,10666667
163,42,5,16000000
163,42,6,10000000
163,48,4,14666667
163,48,5,16666667
163,48,6,14000000
163,54,4,14000000
163,54,5,12000000
163,54,6,12666667
163,68,4,18666667
163,68,5,17333333
163,68,6,18666667
177,0,1,2000
177,0,2,3333
177,0,3,9333
177,6,1,14000
177,6,2,10000
177,6,3,12666.66667
177,18,1,1200000
177,18,2,1266667
177,18,3,1266667
177,24,1,1333333.333
177,24,2,1333333.333
177,24,3,3333333.333
177,30,1,4666666.667
177,30,2,4000000
177,30,3,4000000
177,42,1,3333333
177,42,2,2000000
177,42,3,2000000
177,48,1,2000000
177,48,2,1333333.333
177,48,3,3333333.333
177,54,1,3333333
177,54,2,4666667
177,54,3,4000000
177,67,1,0
177,67,2,0
177,67,3,0
177,0,4,5333
177,0,5,4000
177,0,6,6000
177,6,4,4000
177,6,5,2667
177,6,6,6000
177,18,4,1000000
177,18,5,1400000
177,18,6,1400000
177,24,4,4666667
177,24,5,4000000
177,24,6,4666667
177,30,4,4000000
177,30,5,8000000
177,30,6,2000000
177,42,4,1333333
177,42,5,2666667
177,42,6,3333333
177,48,4,2000000
177,48,5,2666667
177,48,6,2000000
177,54,4,2666667
177,54,5,3333333
177,54,6,4666667
177,68,4,2666667
177,68,5,2666667
177,68,6,4666667
228,0,1,667
228,0,2,2000
228,0,3,2667
228,6,1,5333.333333
228,6,2,2000
228,6,3,2666.666667
228,18,1,466667
228,18,2,666667
228,18,3,333333
228,24,1,5333333.333
228,24,2,4000000
228,24,3,4666666.667
228,30,1,1333333
228,30,2,3333333
228,30,3,3333333
228,42,1,3333333
228,42,2,4666667
228,42,3,4666667
228,48,1,2666666.667
228,48,2,3333333.333
228,48,3,2666666.667
228,54,1,3333333
228,54,2,2000000
228,54,3,1333333
228,67,1,4000000
228,67,2,4000000
228,67,3,4666666.667
228,0,4,3333
228,0,5,2667
228,0,6,8000
228,6,4,3333
228,6,5,2667
228,6,6,6000
228,18,4,1266667
228,18,5,533333
228,18,6,533333
228,24,4,1066667
228,24,5,1600000
228,24,6,1066667
228,30,4,1466667
228,30,5,1333333
228,30,6,1533333
228,42,4,4666667
228,42,5,5333333
228,42,6,3333333
228,48,4,4666667
228,48,5,3333333
228,48,6,6000000
228,54,4,3333333
228,54,5,2666667
228,54,6,6000000
228,68,4,4666667
228,68,5,4000000
228,68,6,7333333
232,0,1,4000
232,0,2,2000
232,0,3,4000
232,6,1,6000
232,6,2,7333
232,6,3,5333
232,18,1,226666.6667
232,18,2,153333.3333
232,18,3,113333.3333
232,24,1,1200000
232,24,2,1266666.667
232,24,3,1000000
232,30,1,4666667
232,30,2,4000000
232,30,3,4000000
232,42,1,28666666.67
232,42,2,18000000
232,42,3,16000000
232,48,1,25333333
232,48,2,26666667
232,48,3,24666667
232,54,1,21333333.33
232,54,2,26000000
232,54,3,22666666.67
232,67,1,29333333.33
232,67,2,25333333.33
232,67,3,24666666.67
232,0,4,4667
232,0,5,6000
232,0,6,6667
232,6,4,6000
232,6,5,4000
232,6,6,8000
232,18,4,133333
232,18,5,133333
232,18,6,93333
232,24,4,866667
232,24,5,333333
232,24,6,533333
232,30,4,3333333
232,30,5,3333333
232,30,6,1333333
232,42,4,24666667
232,42,5,16666667
232,42,6,16000000
232,48,4,24000000
232,48,5,25333333
232,48,6,18000000
232,54,4,22000000
232,54,5,14666667
232,54,6,21333333
232,68,4,34666667
232,68,5,18000000
232,68,6,17333333
253,0,1,2000
253,0,2,6000
253,0,3,2666.666667
253,6,1,6000
253,6,2,4000
253,6,3,6667
253,18,1,600000
253,18,2,666667
253,18,3,733333
253,24,1,2000000
253,24,2,3333333.333
253,24,3,5333333.333
253,30,1,666667
253,30,2,2666667
253,30,3,4666667
253,42,1,2666666.667
253,42,2,2066666.667
253,42,3,2000000
253,48,1,3333333.333
253,48,2,5333333.333
253,48,3,6000000
253,54,1,5333333
253,54,2,3333333
253,54,3,4666667
253,67,1,2666666.667
253,67,2,6000000
253,67,3,4666666.667
253,0,4,667
253,0,5,2000
253,0,6,1333
253,6,4,4667
253,6,5,4667
253,6,6,4667
253,18,4,1600000
253,18,5,1066667
253,18,6,733333
253,24,4,2133333
253,24,5,1800000
253,24,6,1400000
253,30,4,1400000
253,30,5,2866667
253,30,6,1600000
253,42,4,6000000
253,42,5,333333
253,42,6,5333333
253,48,4,2000000
253,48,5,8666667
253,48,6,3333333
253,54,4,2000000
253,54,5,3333333
253,54,6,3333333
253,68,4,6666667
253,68,5,4000000
253,68,6,5333333
460,0,1,0
460,0,2,0
460,0,3,0
460,6,1,17333
460,6,2,13333
460,6,3,20667
460,18,1,666666.6667
460,18,2,1133333.333
460,18,3,1000000
460,24,1,2666666.667
460,24,2,3333333.333
460,24,3,2666666.667
460,30,1,6666667
460,30,2,5333333
460,30,3,12000000
460,42,1,20666666.67
460,42,2,16000000
460,42,3,19333333.33
460,48,1,12666667
460,48,2,12666667
460,48,3,10666667
460,54,1,60000000
460,54,2,80000000
460,54,3,53333333
460,67,1,46666666.67
460,67,2,53333333.33
460,67,3,66666666.67
460,0,4,5333
460,0,5,5333
460,0,6,5333
460,6,4,26667
460,6,5,40000
460,6,6,60000
460,18,4,866667
460,18,5,1200000
460,18,6,1333333
460,24,4,8000000
460,24,5,5333333
460,24,6,10666667
460,30,4,11333333
460,30,5,18000000
460,30,6,9333333
460,42,4,24000000
460,42,5,23333333
460,42,6,16666667
460,48,4,17333333
460,48,5,20000000
460,48,6,15333333
460,54,4,160000000
460,54,5,193333333
460,54,6,160000000
460,68,4,23333333
460,68,5,22666667
460,68,6,26666667
550,0,1,7333.333333
550,0,2,5333.333333
550,0,3,8666.666667
550,6,1,10667
550,6,2,13333
550,6,3,7333
550,18,1,86667
550,18,2,73333
550,18,3,53333
550,24,1,733333.3333
550,24,2,266666.6667
550,24,3,866666.6667
550,30,1,1200000
550,30,2,1400000
550,30,3,1600000
550,42,1,4666666.667
550,42,2,3333333.333
550,42,3,6000000
550,48,1,8000000
550,48,2,9333333
550,48,3,10000000
550,54,1,16666667
550,54,2,6000000
550,54,3,12666667
550,67,1,10000000
550,67,2,6666666.667
550,67,3,12666666.67
550,0,4,10000
550,0,5,10000
550,0,6,10000
550,6,4,9333
550,6,5,16667
550,6,6,12000
550,18,4,93333
550,18,5,133333
550,18,6,86667
550,24,4,333333
550,24,5,666667
550,24,6,400000
550,30,4,1533333
550,30,5,1066667
550,30,6,1800000
550,42,4,6000000
550,42,5,10000000
550,42,6,9333333
550,48,4,10000000
550,48,5,10666667
550,48,6,18666667
550,54,4,8000000
550,54,5,15333333
550,54,6,11333333
550,68,4,10000000
550,68,5,12666667
550,68,6,14000000
0092a,0,1,4666.666667
0092a,0,2,666.6666667
0092a,0,3,666.6666667
0092a,6,1,5333
0092a,6,2,4000
0092a,6,3,2000
0092a,18,1,0
0092a,18,2,866666.6667
0092a,18,3,800000
0092a,24,1,7333333
0092a,24,2,4000000
0092a,24,3,6000000
0092a,30,1,9333333
0092a,30,2,10666667
0092a,30,3,7333333
0092a,42,1,6000000
0092a,42,2,2666666.667
0092a,42,3,10000000
0092a,48,1,6666667
0092a,48,2,6000000
0092a,48,3,6666667
0092a,54,1,6000000
0092a,54,2,5333333.333
0092a,54,3,6666666.667
0092a,67,1,6666666.667
0092a,67,2,9333333.333
0092a,67,3,5333333.333
0092a,0,4,3333
0092a,0,5,3333
0092a,0,6,3333
0092a,6,4,5333
0092a,6,5,2000
0092a,6,6,6000
0092a,18,4,800000
0092a,18,5,666667
0092a,18,6,1333333
0092a,24,4,4000000
0092a,24,5,4666667
0092a,24,6,12000000
0092a,30,4,8666667
0092a,30,5,8000000
0092a,30,6,12000000
0092a,42,4,9333333
0092a,42,5,4666667
0092a,42,6,6000000
0092a,48,4,8000000
0092a,48,5,6666667
0092a,48,6,7333333
0092a,54,4,6000000
0092a,54,5,4000000
0092a,54,6,8666667
0092a,68,4,7333333
0092a,68,5,7333333
0092a,68,6,8000000
17B2,0,1,666.6666667
17B2,0,2,666.6666667
17B2,0,3,666.6666667
17B2,6,1,1333
17B2,6,2,667
17B2,6,3,667
17B2,18,1,1333.333333
17B2,18,2,2666.666667
17B2,18,3,3333.333333
17B2,24,1,3333
17B2,24,2,5333
17B2,24,3,6000
17B2,30,1,33333.33333
17B2,30,2,33333.33333
17B2,30,3,46666.66667
17B2,42,1,533333.3333
17B2,42,2,533333.3333
17B2,42,3,1466666.667
17B2,48,1,1400000
17B2,48,2,1266667
17B2,48,3,1933333
17B2,54,1,2666666.667
17B2,54,2,4000000
17B2,54,3,4000000
17B2,67,1,1466667
17B2,67,2,1066667
17B2,67,3,1466667
17B2,0,4,667
17B2,0,5,667
17B2,0,6,1333
17B2,6,4,1333
17B2,6,5,1333
17B2,6,6,0
17B2,18,4,1333
17B2,18,5,2667
17B2,18,6,1333
17B2,24,4,5333
17B2,24,5,4000
17B2,24,6,4667
17B2,30,4,40000
17B2,30,5,33333
17B2,30,6,33333
17B2,42,4,1400000
17B2,42,5,1733333
17B2,42,6,2000000
17B2,48,4,5333333
17B2,48,5,6000000
17B2,48,6,4266667
17B2,54,4,7333333
17B2,54,5,12666667
17B2,54,6,13333333
17B2,68,4,1333333
17B2,68,5,2666667
17B2,68,6,3333333